#initial state	final state	rate lifetime	scale factor

#Auger KLL
0	1	0.61	0.5
0	2	0.94	1
0	3	0.94	2
0	4	2.08	1
0	5	2.08	2
0	6	2.09	3

#Auger LMM1+2
#1	4	.1	1
#1	5	.1	1
#1	6	.1	1
#1	7	.1	1
#1	8	.1	1

#2	4	.1	1
#2	5	.1	1
#2	6	.1	1
#2	7	.1	1
#2	8	.1	1

#3	4	.1	1
#3	5	.1	1
#3	6	.1	1
#3	7	.1	1
#3	8	.1	1

#Kalpha
0	12	2.57	2
0	13	2.55	4

#Auger LMM
#9	11	.1	1
#9	12	.1	1
#9	13	.1	1
#9	14	.1	1
#9	15	.1	1
#9	16	.1	1
#9	17	.1	1
#9	18	.1	1
#9	19	.1	1
#9	20	.1	1

#10	11	.1	1
#10	12	.1	1
#10	13	.1	1
#10	14	.1	1
#10	15	.1	1
#10	16	.1	1
#10	17	.1	1
#10	18	.1	1
#10	19	.1	1
#10	20	.1	1


#Auger KMM
#0	21	4	20
