#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
-2	1.25	2.76	.37	.36	6.90	2.15	2.15	2

-1	2	2	2	4	2	2	4	4
0	-1	0	0	0	0	0	0	0

#KLL and KLM and KMM
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
1	1	-2	0	0	0	0	0	0
2	1	-1	-1	0	0	0	0	0
3	1	-1	0	-1	0	0	0	0
4	1	-1	0	0	-1	0	0	0
5	1	-1	0	0	0	-1	0	0
6	1	-1	0	0	0	0	-1	0
7	1	-1	0	0	0	0	0	-1
8	1	0	-2	0	0	0	0	0
9	1	0	-1	-1	0	0	0	0
10	1	0	-1	0	-1	0	0	0
11	1	0	-1	0	0	-1	0	0
12	1	0	-1	0	0	0	-1	0
13	1	0	-1	0	0	0	0	-1
14	1	0	0	-2	0	0	0	0
15	1	0	0	-1	-1	0	0	0
16	1	0	0	-1	0	-1	0	0
17	1	0	0	-1	0	0	-1	0
18	1	0	0	-1	0	0	0	-1
19	1	0	0	0	-2	0	0	0
20	1	0	0	0	-1	-1	0	0
21	1	0	0	0	-1	0	-1	0
22	1	0	0	0	-1	0	0	-1
23	1	0	0	0	0	-2	0	0
24	1	0	0	0	0	-1	-1	0
25	1	0	0	0	0	-1	0	-1
26	1	0	0	0	0	0	-2	0
27	1	0	0	0	0	0	-1	-1

#Kalpha and beta
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
28	1	0	-1	0	0	0	0	0
29	1	0	0	-1	0	0	0	0
30	1	0	0	0	0	-1	0	0
31	1	0	0	0	0	0	-1	0

#L1LL and L1LM and L1MM
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
32	0	1	-2	0	0	0	0	0
33	0	1	-1	-1	0	0	0	0
34	0	1	-1	0	-1	0	0	0
35	0	1	-1	0	0	-1	0	0
36	0	1	-1	0	0	0	-1	0
37	0	1	-1	0	0	0	0	-1
38	0	1	0	-2	0	0	0	0
39	0	1	0	-1	-1	0	0	0
40	0	1	0	-1	0	-1	0	0
41	0	1	0	-1	0	0	-1	0
42	0	1	0	-1	0	0	0	-1
43	0	1	0	0	-2	0	0	0
44	0	1	0	0	-1	-1	0	0
45	0	1	0	0	-1	0	-1	0
46	0	1	0	0	-1	0	0	-1
47	0	1	0	0	0	-2	0	0
48	0	1	0	0	0	-1	-1	0
49	0	1	0	0	0	-1	0	-1
50	0	1	0	0	0	0	-2	0
51	0	1	0	0	0	0	-1	-1

#L2LL and L2LM and L2MM
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
52	0	0	1	-2	0	0	0	0
53	0	0	1	-1	-1	0	0	0
54	0	0	1	-1	0	-1	0	0
55	0	0	1	-1	0	0	-1	0
56	0	0	1	-1	0	0	0	-1
57	0	0	1	0	-2	0	0	0
58	0	0	1	0	-1	-1	0	0
59	0	0	1	0	-1	0	-1	0
60	0	0	1	0	-1	0	0	-1
61	0	0	1	0	0	-2	0	0
62	0	0	1	0	0	-1	-1	0
63	0	0	1	0	0	-1	0	-1
64	0	0	1	0	0	0	-2	0
65	0	0	1	0	0	0	-1	-1

#L3LL and L3LM and L3MM
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
66	0	0	0	1	-2	0	0	0
67	0	0	0	1	-1	-1	0	0
68	0	0	0	1	-1	0	-1	0
#69	0	0	0	1	-1	0	0	-1
#70	0	0	0	1	0	-2	0	0
#71	0	0	0	1	0	-1	-1	0
#72	0	0	0	1	0	-1	0	-1
#73	0	0	0	1	0	0	-2	0
#74	0	0	0	1	0	0	-1	-1

#MMM
#Pro #	1s	2s	2p1/2	2p3/2	3s	3p1/2	3p3/2	t2g
#75	0	0	0	0	1	-2	0	0
#76	0	0	0	0	1	-1	-1	0
#77	0	0	0	0	1	-1	0	-1
#78	0	0	0	0	1	0	-2	0
#79	0	0	0	0	1	0	-1	-1
#80	0	0	0	0	0	1	-2	0
#81	0	0	0	0	0	1	-1	-1
#82	0	0	0	0	0	1	0	-2
#83	0	0	0	0	0	0	1	-2
